sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
CH-BL1-pl1-7-3-Oct,2340,1956,1796,160,1628,NA,NA,NA,NA,811
CH-BL2-pl1-7-4-Oct,2616,2183,1994,189,1816,NA,NA,NA,NA,904
CH101-1-8-May,84754,72612,67146,5466,57774,NA,NA,NA,NA,28868
CH101-pl1-1-1-Oct,25806,20995,18986,2009,16886,NA,NA,NA,NA,8441
CH102-1-7-May,353764,306899,285558,21341,248852,NA,NA,NA,NA,124359
CH102-pl1-1-2-Oct,35492,29303,26908,2395,24426,NA,NA,NA,NA,12211
CH103-1-6-May,488238,419137,387566,31571,348208,NA,NA,NA,NA,174028
CH103-pl1-1-3-Oct,29740,24280,22104,2176,19770,NA,NA,NA,NA,9883
CH104-1-5-May,545704,476517,443652,32865,385602,NA,NA,NA,NA,192766
CH104-pl1-1-4-Oct,26916,22226,20258,1968,18262,NA,NA,NA,NA,9127
CH105-1-4-May,296246,257180,238128,19052,214962,NA,NA,NA,NA,107444
CH105-pl1-1-5-Oct,35946,30131,27704,2427,24968,NA,NA,NA,NA,12478
CH106-1-3-May,567618,483918,443496,40422,399080,NA,NA,NA,NA,199459
CH106-pl1-1-6-Oct,31738,26304,24180,2124,21934,NA,NA,NA,NA,10959
CH107-1-2-May,319854,272905,252252,20653,222530,NA,NA,NA,NA,111237
CH107-pl1-1-7-Oct,31466,26125,23884,2241,21650,NA,NA,NA,NA,10819
CH108-1-1-May,262324,223952,205874,18078,174328,NA,NA,NA,NA,87145
CH108-pl1-1-8-Oct,33536,27657,25256,2401,22250,NA,NA,NA,NA,11121
CH109-2-8-May,13136,11137,10332,805,8636,NA,NA,NA,NA,4317
CH109-pl1-2-1-Oct,17030,13893,12650,1243,11378,NA,NA,NA,NA,5688
CH110-2-7-May,211424,183048,171028,12020,145922,NA,NA,NA,NA,72927
CH110-pl1-2-2-Oct,15896,13093,12008,1085,10922,NA,NA,NA,NA,5459
CH111-pl1-2-3-Oct,26264,21473,19482,1991,18004,NA,NA,NA,NA,8999
CH112-pl1-2-4-Oct,31808,26202,23932,2270,21812,NA,NA,NA,NA,10902
CH113-pl1-2-5-Oct,21420,17900,16430,1470,14998,NA,NA,NA,NA,7498
CH114-pl1-2-6-Oct,14776,12178,11200,978,10232,NA,NA,NA,NA,5115
CH115-pl1-2-7-Oct,18930,15583,14218,1365,12986,NA,NA,NA,NA,6493
