"","Ascomorpha_ecaudis","Asellus_aquaticus","Corophium_multisetosum","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus_laricomalis","Cyclopidae","Cyclops","Cyclops_abyssorum","Cypridopsis_vidua","Daphnia","Daphnia_longispina","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Euchlanis_dilatata","Eudiaptomus_gracilis","Gammarus_tigrinus","Gammarus_zaddachi","Gyraulus_albus","Helobdella_stagnalis","Homo_sapiens","Hydra_oligactis","Hymenoptera","Kellicottia_sp._BIOUG30062-G11","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lymnaea_stagnalis","Mallomonas_sp.","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Microtendipes","Molanna_angustata","Osmia_bicornis","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polypedilum_sp._9_SC","Polyphemus_pediculus","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Sigara","Synchaeta_cf._tremula/oblonga_UO-2012","Synchaeta_pectinata","Synchaeta_sp._WM-2017a","Tanytarsus_bathophilus","Tubifex_tubifex"
"eCH5",979,0,0,0,0,0,0,5893,0,0,0,548,0,0,16,0,58,0,0,32,0,0,0,0,0,0,0,24,37,0,0,0,92,0,0,0,0,0,2008,945,6,7,69,0,0,0,25,12,0,0,0
"eCH4",151,0,0,0,0,0,11,1466,0,0,51,13243,33,112,10,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,35,21,0,2101,0,0,0,0,0,0,0,0,0
"eCH3",943,0,0,0,0,0,0,13440,0,0,0,28,15,0,0,0,50,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,60,7,184,0,0,0,1133,350,0,3985,0,0,0,0,0,26,0,0,0
"eCH2",112,0,0,0,0,0,0,4861,0,0,0,46,0,9,0,0,14,0,0,126,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,107,44,0,0,0,0,0,0,0,0,0,0,0
"eCH1",514,0,0,0,0,0,0,7231,0,0,0,18,0,0,0,0,169,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,0,87,0,0,0,312,56,0,6,0,0,0,0,0,10,0,0,0
"CH.108",0,0,0,0,113887,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.107",0,0,0,0,138423,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.106",0,0,0,0,218,248759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.105",0,0,0,0,174,131770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.104",0,0,0,0,243783,384,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.103",0,0,0,0,213,209847,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.102",0,0,0,0,152581,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.101",0,0,0,0,37626,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.205",0,0,0,0,518,58171,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.204",0,0,0,0,66,993,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.202",0,0,0,0,99933,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
