"","Ascomorpha_ecaudis","Asellus_aquaticus","Corophium_multisetosum","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus_laricomalis","Cyclopidae","Cyclops","Cyclops_abyssorum","Cypridopsis_vidua","Daphnia","Daphnia_longispina","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Euchlanis_dilatata","Eudiaptomus_gracilis","Gammarus_tigrinus","Gammarus_zaddachi","Gyraulus_albus","Helobdella_stagnalis","Homo_sapiens","Hydra_oligactis","Hymenoptera","Kellicottia_sp._BIOUG30062-G11","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lymnaea_stagnalis","Mallomonas_sp.","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Microtendipes","Molanna_angustata","Osmia_bicornis","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polypedilum_sp._9_SC","Polyphemus_pediculus","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Sigara","Synchaeta_cf._tremula/oblonga_UO-2012","Synchaeta_pectinata","Synchaeta_sp._WM-2017a","Tanytarsus_bathophilus","Tubifex_tubifex"
"eCH5",0.0909513192121888,0.000464511334076551,0,0,0,0,0,0.547473058342624,0,0,0,0.05091044221479,0,0,0.00148643626904496,0,0.005388331475288,0,0,0.00297287253808993,0,0,0,0,0,0.000278706800445931,0,0.00222965440356745,0.00343738387216648,0,0,0,0.00854700854700855,0,0.000278706800445931,0,0.000185804533630621,0,0.186547751765143,0.0877926421404682,0.000557413600891862,0.000650315867707172,0.00641025641025641,0,0,0,0.00232255667038276,0.00111482720178372,0,0,0
"eCH4",0.00839681921815047,0,0,0,0,0,0.00061168881721626,0.0815214369126397,0,0,0.00283601178891175,0.736417727854084,0.00183506645164878,0.00622810432074737,0.000556080742923873,0,0,0,0,0.0406495023077351,0,0,0,0,0,0,0,0,0,0,0,0,0.00100094533726297,0,0,0,0,0,0.00194628260023355,0.00116776956014013,0,0.116832564088306,0,0,0,0,0,0,0,0,0
"eCH3",0.0456769193509324,0,0,0,0,0,0,0.651005085977234,0,0,0,0.0013562605957859,0.000726568176313877,0,0.000242189392104626,0,0.00242189392104626,0,0,0.0198595301525793,0,0,0,0,0,9.68757568418503e-05,0,0,9.68757568418503e-05,0,0,9.68757568418503e-05,0.00290627270525551,0.000339065148946476,0.00891256962945023,0,0,0,0.0548801162509082,0.0169532574473238,0,0.193024945507387,0.000145313635262775,0,0,0,0,0.00125938483894405,0,0,0
"eCH2",0.0209777111818693,0,0,0,0,0,0,0.910470125491665,0,0,0,0.00861584566398202,0,0.00168570893425735,0.000936504963476306,0,0.00262221389773366,0,0,0.0235999250796029,0,0,0,0,0,0,0,0.00112380595617157,0,0,0,0,0.000561902978085784,0,0,0,0,0,0.020041206218393,0.0082412436785915,0,0.000561902978085784,0.000561902978085784,0,0,0,0,0,0,0,0
"eCH1",0.0606847697756789,0,0,0,0,0,0,0.853719008264463,0,0,0,0.00212514757969303,0,0,0.000236127508854782,0.000354191263282172,0.019952774498229,0,0.000472255017709563,0.00118063754427391,0,0,0,0,0.000236127508854782,0,0,0,0.000354191263282172,0.000236127508854782,0,0,0.00413223140495868,0,0.010271546635183,0,0,0,0.0368358913813459,0.00661157024793388,0.000354191263282172,0.000708382526564345,0,0,0,0,0,0.00118063754427391,0.000354191263282172,0,0
"CH.108",0,0,0,0,0.998071985066648,0.0019017238206245,0,0,0,0,0,0,0,0,2.62911127275277e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.107",0,0,0,0,0.990341482260522,0.0092006324540505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114471321356771,0,0,0,0.000221788185128744,0,0,0,0,0,0,0,0,0,0.00012162577894157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.106",0,0,0,2.0079676154983e-05,0.000875473880357258,0.999000032127482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104414316005911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.105",0,0,6.8192667015207e-05,0,0.001318391562294,0.998416414732647,0,0,0,0,0,0,0,0,0.000197001038043931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH.104",0,0,0,0,0.997491775642809,0.00157122047824023,0,0,0,0,0,0,0,0,0.000748784759161361,0,0,0,0,0,0,8.18343999083455e-06,0,0,0,0.00018003567979836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
