"","Acanthocyclops_robustus","Ascomorpha_ecaudis","Asellus_aquaticus","Chaetogaster_diastrophus","Chironomidae","Chydorus_brevilabris","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cyclopidae","Cyclops","Cypridopsis_vidua","Daphnia","Daphniidae","Decapoda","Diaphanosoma_brachyurum","Dikerogammarus_villosus","Diplostomum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Eubosmina_coregoni","Euchlanis_dilatata","Eucyclops_cf._serrulatus_ZISP_11SNM-532","Eucyclops_macrurus","Eucypris_virens","Eudiaptomus_gracilis","Eurycercus_lamellatus","Eurytemora_affinis","Gammarus_zaddachi","Harmonia_axyridis","Hemiptera","Homo_sapiens","Hydra","Hydra_oligactis","Hymenoptera","Isopoda","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lumbricus_terrestris","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Osmia_bicornis","Oxyethira_flavicornis","Paraphysomonas_sp.","Philodina_citrina","Plectus_aquatilis","Ploima","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polyarthra_sp._UO-2013","Porcellio_scaber","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Spongillida","Stylaria_lacustris","Synchaeta_grandis","Synchaeta_pectinata","Tanytarsus"
"CH101.pl1.1.1.nc.blast",0,0,0,0,0,0,0,10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH102.pl1.1.2.nc.blast",0,0,0,0,0,0,0,14518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH103.pl1.1.3.nc.blast",0,0,0,0,0,0,0,11450,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH104.pl1.1.4.nc.blast",0,0,0,0,0,0,0,9072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH105.pl1.1.5.nc.blast",0,0,0,0,0,0,0,12561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH106.pl1.1.6.nc.blast",0,0,0,0,0,0,0,12662,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
"CH107.pl1.1.7.nc.blast",0,0,0,0,0,0,0,13016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH108.pl1.1.8.nc.blast",0,0,0,0,0,0,0,13620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH109.pl1.2.1.nc.blast",0,0,0,0,0,49,0,5499,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH110.pl1.2.2.nc.blast",0,0,0,0,0,0,0,6005,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
