"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"sample_type","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","gut","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","eDNA","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick","kick"
"predator_id","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.pseudogracilis","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis","C.floridanus","C.pseudogracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"site","CH1","CH1","CH1","CH1","CH2","CH2","CH3","CH3","CH3","CH4","CH4","CH5","CH5","CH5","CH5","CH6","CH6","CH1","CH2","CH2","CH3","CH3","CH4","CH4","CH5","CH5","CH1","CH1","CH2","CH2","CH3","CH3","CH4","CH4","CH5","CH5","CH6","CH6"
"time","May","May","Oct","Oct","May","May","May","Oct","Oct","May","Oct","May","May","Oct","Oct","Oct","Oct","May","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct","May","Oct"
"Corophium_multisetosum","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Crangonyx","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","126"," 31","  3","  2","  4"," 26"," 30"," 10","149"," 26","183","220"
"Crangonyx_floridanus"," 0"," 3"," 0"," 1"," 0"," 3"," 2"," 0"," 2"," 4"," 1"," 0"," 2"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","65","21"," 6"," 0"," 0"," 8"," 4"," 0"," 4"," 8"," 0"," 9"
"Crangonyx_pseudogracilis"," 7"," 0","12"," 0"," 5"," 0"," 0"," 8"," 0"," 0"," 0"," 2"," 0"," 8"," 0"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","18"," 1"," 5"," 0","11"," 2","21"," 1"," 5"," 2"," 1"," 1"
"Cyclops","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cyclops_abyssorum","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diaphanosoma_brachyurum","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Endochironomus_albipennis","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Limnodrilus_hoffmeisteri","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lumbriculus_variegatus","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Potamopyrgus_antipodarum"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 2"," 0"," 0"," 6"," 0","11"," 0"," 0"," 2"," 3"," 9","17"
"Schmidtea_polychroa","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
