"","Ascomorpha_ecaudis","Asellus_aquaticus","Corophium_multisetosum","Crangonyx","Crangonyx_floridanus","Crangonyx_pseudogracilis","Cricotopus_laricomalis","Cyclopidae","Cyclops","Cyclops_abyssorum","Cypridopsis_vidua","Daphnia","Daphnia_longispina","Diaphanosoma_brachyurum","Diptera","Dreissena_polymorpha","Endochironomus_albipennis","Euchlanis_dilatata","Eudiaptomus_gracilis","Gammarus_tigrinus","Gyraulus_albus","Helobdella_stagnalis","Homo_sapiens","Hydra_oligactis","Hymenoptera","Kellicottia_sp._BIOUG30062-G11","Keratella_cochlearis","Limnodrilus_hoffmeisteri","Lumbriculus_variegatus","Lymnaea_stagnalis","Maxillopoda_sp._BOLD:ACW5478","Mesocyclops_leuckarti","Microtendipes","Molanna_angustata","Osmia_bicornis","Polyarthra","Polyarthra_dolichoptera_complex_sp._UO-2013","Polypedilum_sp._9_SC","Polyphemus_pediculus","Potamopyrgus_antipodarum","Schmidtea_polychroa","Sida_crystallina","Sigara","Synchaeta_cf._tremula/oblonga_UO-2012","Synchaeta_pectinata","Synchaeta_sp._WM-2017a","Tanytarsus_bathophilus","Tubifex_tubifex","sample_id","sample_type","time","site","predator_id"
"eCH5",979,0,0,0,0,0,0,5893,0,0,0,548,0,0,0,58,0,0,32,0,0,0,0,0,0,24,37,0,0,0,0,0,0,0,0,2008,945,6,7,69,0,0,0,25,12,0,0,0,"eCH5","eDNA","May","eCH5","water"
"eCH4",151,0,0,0,0,0,11,1466,0,0,51,13243,33,112,0,0,0,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,0,2101,0,0,0,0,0,0,0,0,0,"eCH4","eDNA","May","eCH4","water"
"eCH3",943,0,0,0,0,0,0,13440,0,0,0,28,15,0,0,50,0,0,410,0,0,0,0,0,0,0,0,0,0,0,7,184,0,0,0,1133,350,0,3985,0,0,0,0,0,26,0,0,0,"eCH3","eDNA","May","eCH3","water"
"eCH2",112,0,0,0,0,0,0,4861,0,0,0,46,0,9,0,14,0,0,126,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,107,44,0,0,0,0,0,0,0,0,0,0,0,"eCH2","eDNA","May","eCH2","water"
"eCH1",514,0,0,0,0,0,0,7231,0,0,0,18,0,0,0,169,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,312,56,0,6,0,0,0,0,0,10,0,0,0,"eCH1","eDNA","May","eCH1","water"
"CH108",0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH108","gut","May","CH1","Crangonyx_floridanus"
"CH107",0,0,0,0,0,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH107","gut","May","CH1","Crangonyx_floridanus"
"CH106",0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH106","gut","May","CH1","Crangonyx_pseudogracilis"
"CH105",0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH105","gut","May","CH1","Crangonyx_pseudogracilis"
"CH104",0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH104","gut","May","CH1","Crangonyx_floridanus"
"CH103",0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH103","gut","May","CH1","Crangonyx_pseudogracilis"
"CH102",0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH102","gut","May","CH1","Crangonyx_floridanus"
"CH101",0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH101","gut","May","CH1","Crangonyx_floridanus"
"CH205",0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH205","gut","May","CH2","Crangonyx_pseudogracilis"
"CH204",0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH204","gut","May","CH2","Crangonyx_pseudogracilis"
"CH202",0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH202","gut","May","CH2","Crangonyx_floridanus"
"CH201",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH201","gut","May","CH2","Crangonyx_pseudogracilis"
"CH110",0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH110","gut","May","CH1","Crangonyx_floridanus"
"CH109",0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH109","gut","May","CH1","Crangonyx_floridanus"
"CH309",0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH309","gut","May","CH3","Crangonyx_pseudogracilis"
"CH308",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH308","gut","May","CH3","Crangonyx_pseudogracilis"
"CH210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH210","gut","May","CH2","Crangonyx_floridanus"
