#OTU ID	CH101-1-8-nc.blast	CH102-1-7-nc.blast	CH103-1-6-nc.blast	CH104-1-5-nc.blast	CH105-1-4-nc.blast	CH106-1-3-nc.blast	CH107-1-2-nc.blast	CH108-1-1-nc.blast	CH109-2-8-nc.blast	CH110-2-7-nc.blast	CH201-2-6-nc.blast	CH202-2-5-nc.blast	CH203-2-4-nc.blast	CH204-2-3-nc.blast	CH205-2-2-nc.blast	CH206-2-1-nc.blast	CH207-3-8-nc.blast	CH208-3-7-nc.blast	CH209-3-6-nc.blast	CH210-3-5-nc.blast	CH211-3-4-nc.blast	CH308-3-3-nc.blast	CH309-3-2-nc.blast	CH310-3-1-nc.blast	CH311-4-8-nc.blast	CH312-4-7-nc.blast	CH313-4-6-nc.blast	CH314-4-5-nc.blast	CH315-4-4-nc.blast	CH316-4-3-nc.blast	CH317-4-2-nc.blast	CH401-4-1-nc.blast	CH402-5-8-nc.blast	CH403-5-7-nc.blast	CH404-5-6-nc.blast	CH405-5-5-nc.blast	CH406-5-4-nc.blast	CH407-5-3-nc.blast	CH408-5-2-nc.blast	CH409-5-1-nc.blast	CH410-6-8-nc.blast	CH501-6-7-nc.blast	CH503-6-6-nc.blast	CH504-6-5-nc.blast	CH505-6-4-nc.blast	CH506-6-3-nc.blast	CH507-6-2-nc.blast	CH508-6-1-nc.blast	CH509-7-8-nc.blast	CH510-7-7-nc.blast	CH602-7-6-nc.blast	RB301-7-4-nc.blast	RB302-7-3-nc.blast	RB303-7-2-nc.blast	RB304-7-1-nc.blast	RB305-8-8-nc.blast	RB306-8-7-nc.blast	RB307-8-6-nc.blast	RB308-8-5-nc.blast	RB401-8-4-nc.blast	RB402-8-3-nc.blast	RB501-8-2-nc.blast	RB502-8-1-nc.blast	RB503-9-8-nc.blast	RB504-9-7-nc.blast	RB505-9-6-nc.blast	RB506-9-5-nc.blast	RB507-9-4-nc.blast	RB508-9-3-nc.blast	RB509-9-2-nc.blast	RB510-9-1-nc.blast	RB511-10-8-nc.blast	RB512-10-7-nc.blast	RB513-10-6-nc.blast	RB514-10-5-nc.blast	RB515-10-4-nc.blast	RB516-10-3-nc.blast	RB517-10-2-nc.blast	RB518-10-1-nc.blast	RB519-11-8-nc.blast	RB520-11-7-nc.blast	RB521-11-6-nc.blast	RB522-11-5-nc.blast	RB523-11-4-nc.blast	RB524-11-3-nc.blast	RB525-11-2-nc.blast	RB526-11-1-nc.blast	RB527-12-8-nc.blast	RB528-12-7-nc.blast	RB529-12-6-nc.blast	RB530-12-5-nc.blast	RB531-12-4-nc.blast	RB532-12-3-nc.blast	RB533-12-2-nc.blast	RB534-12-1-nc.blast	RB535-1-8-nc.blast	RB601-1-7-nc.blast	RB602-1-6-nc.blast	RB603-1-5-nc.blast	RB604-1-4-nc.blast	RB605-1-3-nc.blast	RB606-1-2-nc.blast	RB607-1-1-nc.blast	RB608-2-8-nc.blast	RB609-2-7-nc.blast	RB610-2-6-nc.blast	RB611-2-5-nc.blast	RB612-2-4-nc.blast	RB613-2-3-nc.blast	eCH-BL-7-2-nc.blast	eCH1-7-8-nc.blast	eCH2-7-7-nc.blast	eCH3-7-6-nc.blast	eCH4-7-5-nc.blast	eCH5-7-4-nc.blast	eCH6-7-3-nc.blast	eRB-BL-6-3-nc.blast	eRB1-7-1-nc.blast	eRB2-6-8-nc.blast	eRB3-6-7-nc.blast	eRB4-6-6-nc.blast	eRB5-6-5-nc.blast	eRB6-6-4-nc.blast	neg-2-2-nc.blast	neg-6-2-nc.blast	neg-7-5-nc.blast	neg-9-8-nc.blast	pos-2-1-nc.blast	pos-9-7-nc.blast	taxomomy
pos-2-1-nc|1_1101_24269_20219_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1101_5332_9255_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1102_13121_13991_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1102_19579_8738_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1102_19707_5981_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1102_8776_14645_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1103_22076_13060_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1103_5268_10285_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1103_6219_8734_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1104_15114_17968_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1105_4063_21500_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
pos-2-1-nc|1_1106_25182_14331_1_ex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Hymenoptera', 'f__Megachilidae', 'g__Osmia', 's__Osmia_bicornis']"
