tube_id	time	location	site	order	family	species	abundance
CH101	16/05/2017	CH	1	Crustacea	Crangonyctiidae	Crangonyx_sp.	59
CH112	16/05/2017	CH	1	Crustacea	Crangonyctiidae	Crangonyx_floridanus	65
CH113	16/05/2017	CH	1	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	18
CH102	16/05/2017	CH	1	Crustacea	Crangonyctiidae	Crangonyx_sp.	67
CH103	16/05/2017	CH	1	Coleoptera	Dytiscidae	Platambus_sp.	14
CH114	16/05/2017	CH	1	Coleoptera	Haliplidae	Haliplus_sp.	1
CH104	16/05/2017	CH	1	Crustacea	Asellidae	Asellus_aquaticus	11
CH105	16/05/2017	CH	1	Odonata	Coenagrionidae	Coenagrionidae	2
CH106	16/05/2017	CH	1	Mollusca	Sphaeridae	Pisidium_sp.	19
CH107	16/05/2017	CH	1	Trichoptera	Psychomyiidae	Psychomyia_sp.	1
CH108	16/05/2017	CH	1	Diptera	Chironomidae	Chironomidae	14
CH109	16/05/2017	CH	1	Oligochaeta	Oligochaeta	Oligochaeta	67
CH110	16/05/2017	CH	1	Mollusca	Dreissenidae	Dreissena_polymorpha	1
CH115	16/05/2017	CH	1	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	2
CH116	16/05/2017	CH	1	Mollusca	Bithyniidae	Bithynia_tentaculata	4
CH111	16/05/2017	CH	1	Trichoptera	Trichoptera	Trichoptera	3
CH201	16/05/2017	CH	2	Diptera	Chironomidae	Chironomidae	2
CH209	16/05/2017	CH	2	Diptera	Ceratopogonidae	Ceratopogonidae	3
CH202	16/05/2017	CH	2	Oligochaeta	Oligochaeta	Oligochaeta	16
CH203	16/05/2017	CH	2	Crustacea	Crangonyctiidae	Crangonyx_sp.	3
CH209	16/05/2017	CH	2	Crustacea	Crangonyctiidae	Crangonyx_floridanus	6
CH210	16/05/2017	CH	2	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	5
CH204	16/05/2017	CH	2	Coleoptera	Dytiscidae	Platambus_sp.	3
CH206	16/05/2017	CH	2	Diptera	Chironomidae	Chironomidae	1
CH207	16/05/2017	CH	2	Diptera	Tabanidae	Tabanidae	1
CH208	16/05/2017	CH	2	Mollusca	Bithyniidae	Bithynia_tentaculata	2
CH301	16/05/2017	CH	3	Crustacea	Crangonyctiidae	Crangonyx_sp.	4
CH307	16/05/2017	CH	3	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	11
CH302	16/05/2017	CH	3	Coleoptera	Dytiscidae	Platambus_sp.	1
CH303	16/05/2017	CH	3	Coleoptera	Haliplidae	Haliplus_sp.	2
CH304	16/05/2017	CH	3	Mollusca	Bithyniidae	Bithynia_tentaculata	1
CH306	16/05/2017	CH	3	Hirudinae	Glossiphonidae	Glossiphonia_complanata	1
CH401	16/05/2017	CH	4	Hirudinae	Haemopidae	Haemopis_sanguisuga	2
CH402	16/05/2017	CH	4	Diptera	Chironomidae	Chironomidae	3
CH403	16/05/2017	CH	4	Oligochaeta	Oligochaeta	Oligochaeta	35
CH404	16/05/2017	CH	4	Trichoptera	Trichoptera	Trichoptera	1
CH405	16/05/2017	CH	4	Crustacea	Asellidae	Asellus_aquaticus	59
CH406	16/05/2017	CH	4	Mollusca	Bithyniidae	Bithynia_tentaculata	1
CH408	16/05/2017	CH	4	Coleoptera	Dytiscidae	Platambus_sp.	2
CH409	16/05/2017	CH	4	Odonata	Coenagrionidae	Coenagrionidae	1
CH410	16/05/2017	CH	4	Coleoptera	Haliplidae	Haliplus_sp.	1
CH411	16/05/2017	CH	4	Trichoptera	Psychomyiidae	Psychomyia_sp.	2
CH412	16/05/2017	CH	4	Crustacea	Crangonyctiidae	Crangonyx_sp.	30
CH414	16/05/2017	CH	4	Crustacea	Crangonyctiidae	Crangonyx_floridanus	4
CH415	16/05/2017	CH	4	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	21
CH413	16/05/2017	CH	4	Crustacea	Corophidae	Corophium_sp.	1
CH501	16/05/2017	CH	5	Odonata	Coenagrionidae	Coenagrionidae	4
CH502	16/05/2017	CH	5	Mollusca	Planorbidae	Planorbis_carinatus	4
CH515	16/05/2017	CH	5	Mollusca	Planorbidae	Planorbis_vortex	4
CH503	16/05/2017	CH	5	Crustacea	Asellidae	Asellus_aquaticus	67
CH504	16/05/2017	CH	5	Mollusca	Dreissenidae	Dreissena_polymorpha	4
CH505	16/05/2017	CH	5	Crustacea	Crangonyctiidae	Crangonyx_sp.	149
CH515	16/05/2017	CH	5	Crustacea	Crangonyctiidae	Crangonyx_floridanus	4
CH516	16/05/2017	CH	5	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	5
CH506	16/05/2017	CH	5	Coleoptera	Dytiscidae	Haliplus_sp.	6
CH516	16/05/2017	CH	5	Coleoptera	Haliplidae	Platambus_sp.	5
CH517	16/05/2017	CH	5	Coleoptera	Dytiscidae	Agabus_sp.	1
CH507	16/05/2017	CH	5	Mollusca	Sphaeridae	Pisidium_sp.	5
CH508	16/05/2017	CH	5	Trichoptera	Trichoptera	Trichoptera	1
CH509	16/05/2017	CH	5	Mollusca	Bithyniidae	Bithynia_sp.	1885
CH510	16/05/2017	CH	5	Diptera	Chironomidae	Chironomidae	2
CH511	16/05/2017	CH	5	Oligochaeta	Oligochaeta	Oligochaeta	28
CH512	16/05/2017	CH	5	Mollusca	Sphaeridae	Sphaerium_sp.	11
CH513	16/05/2017	CH	5	Ephemeroptera	Baetidae	Procleon_pennulatum	1
CH514	16/05/2017	CH	5	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	2
CH601	16/05/2017	CH	6	Crustacea	Crangonyctiidae	Crangonyx_sp.	110
CH619	16/05/2017	CH	6	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	1
CH602	16/05/2017	CH	6	Crustacea	Asellidae	Asellus_aquaticus	100
CH603	16/05/2017	CH	6	Mollusca	Planorbidae	Planorbis_sp.	8
CH619	16/05/2017	CH	6	Mollusca	Valvatidae	Valvata_piscinalis	1
CH604	16/05/2017	CH	6	Crustacea	Crangonyctiidae	Crangonyx_sp.	73
CH605	16/05/2017	CH	6	Odonata	Coenagrionidae	Coenagrionidae	1
CH606	16/05/2017	CH	6	Diptera	Chironomidae	Chironomidae	38
CH607	16/05/2017	CH	6	Mollusca	Sphaeridae	Pisidium_sp.	56
CH608	16/05/2017	CH	6	Mollusca	Dreissenidae	Dreissena_polymorpha	11
CH609	16/05/2017	CH	6	Coleoptera	Dytiscidae	Platambus_sp.	1
CH620	16/05/2017	CH	6	Coleoptera	Haliplidae	Haliplus_sp.	1
CH610	16/05/2017	CH	6	Hemiptera	Corixidae	Corixidae	3
CH611	16/05/2017	CH	6	Oligochaeta	Oligochaeta	Oligochaeta	32
CH612	16/05/2017	CH	6	Hirudinae	Haemopidae	Haemopis_sanguisuga	1
CH613	16/05/2017	CH	6	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	9
CH614	16/05/2017	CH	6	Mollusca	Lymnaeidae	Lymnaea_stagnalis	1
CH615	16/05/2017	CH	6	Hydracarina	Hydracarina	Hydracarina	1
CH616	16/05/2017	CH	6	Ephemeroptera	Caenidae	Caenis_sp.	2
CH617	16/05/2017	CH	6	Trichoptera	Hydropsychidae	Hydropsychidae	1
CH618	16/05/2017	CH	6	Trichoptera	Leptoceridae	Ceraclea_sp.	1
