tube_id	time	location	site	order	family	species	abundance
CH101	02/10/17	CH	1	Mollusca	Dreissenidae	Dreissena_polymorpha	1
CH102	02/10/17	CH	1	Coleoptera	Haliplidae	Haliplus_sp.	4
CH103	02/10/17	CH	1	Mollusca	Planorbidae	Planorbis_vortex	3
CH109	02/10/17	CH	1	Mollusca	Planorbidae	Segmentina_complanata	1
CH104	02/10/17	CH	1	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	3
CH105	02/10/17	CH	1	Diptera	Chironomidae	Chironomidae	3
CH107	02/10/17	CH	1	Crustacea	Crangonyctiidae	Crangonyx_sp.	31
CH108	02/10/17	CH	1	Crustacea	Crangonyctiidae	Crangonyx_floridanus	21
CH109	02/10/17	CH	1	Crustacea	Crangonyctiidae	Crangonyx_pseudogracilis	1
CH201	02/10/17	CH	2	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	6
CH202	02/10/17	CH	2	Mollusca	Planorbidae	Planorbis_vortex	3
CH210	02/10/17	CH	2	Mollusca	Planorbidae	Segmentina_complanata	1
CH203	02/10/17	CH	2	Trichoptera	Trichoptera	Trichoptera	4
CH204	02/10/17	CH	2	Hirudinea	Glossiphoniidae	Bereobdella_sp.	3
CH205	02/10/17	CH	2	Mollusca	Dreissenidae	Dreissena_polymorpha	2
CH206	02/10/17	CH	2	Diptera	Chironomidae	Chironomidae	2
CH207	02/10/17	CH	2	Coleoptera	Dytiscidae	Hyphydrus_sp.	1
CH208	02/10/17	CH	2	Crustacea	Crangonyctiidae	Crangonyx_sp.	2
CH209	02/10/17	CH	2	Oligochaeta	Oligochaeta	Oligochaeta	1
CH301	02/10/17	CH	3	Crustacea	Asellidae	Asellus_aquaticus	1
CH302	02/10/17	CH	3	Mollusca	Dreissenidae	Dreissena_polymorpha	3
CH303	02/10/17	CH	3	Coleoptera	Dytiscidae	Haliplus_sp.	8
CH304	02/10/17	CH	3	Mollusca	Planorbidae	Planorbis_planorbis	1
CH305	02/10/17	CH	3	Diptera	Psychomiidae	Psychomiidae	2
CH306	02/10/17	CH	3	Mollusca	Sphaeriidae	Pisidium_sp.	1
CH307	02/10/17	CH	3	Oligochaeta	Oligochaeta	Oligochaeta	1
CH308	02/10/17	CH	3	Mollusca	Hydrobiidae	Potamopyrgus_antipodarum	11
CH309	02/10/17	CH	3	Diptera	Chironomidae	Chironomidae	1
CH310	02/10/17	CH	3	Hirudinea	Glossiphoniidae	Helobdella_stagnalis	2
CH311	02/10/17	CH	3	Hirudinea	Glossiphoniidae	Glossiphonia_complanata	1
CH312	02/10/17	CH	3	Crustacea	Crangonyctiidae	Crangonyx_sp.	26
